"cycle.number"	"Ns"	"time.s"	"X.I..mA"	"Ecell.V"	"Q.discharge.mA.h"	"Q.charge.mA.h"	"dq.mA.h"	"X.Q.Qo..mA.h"	"Capacity.mA.h"	"Energy.charge.W.h"	"Energy.discharge.W.h"	"X"
0	0	5760,00027358532	0	2,1444886	0	0	0	0	0	0	0	NA
0	0	5790,00027501024	0	2,1447246	0	0	0	0	0	0	0	NA
0	0	5820,00027643517	0	2,1451576	0	0	0	0	0	0	0	NA
0	0	5850,00027786009	0	2,1453938	0	0	0	0	0	0	0	NA
0	0	5880,00027928501	0	2,1458268	0	0	0	0	0	0	0	NA
0	0	5910,00028070994	0	2,1460238	0	0	0	0	0	0	0	NA
0	0	5940,00028213486	0	2,1462991	0	0	0	0	0	0	0	NA
0	0	5970,00028355978	0	2,1466928	0	0	0	0	0	0	0	NA
0	0	6000,00028498471	0	2,1469684	0	0	0	0	0	0	0	NA
0	0	6030,00028640963	0	2,1471653	0	0	0	0	0	0	0	NA
0	0	6060,00028783455	0	2,14748	0	0	0	0	0	0	0	NA
0	0	6090,00028925948	0	2,1477556	0	0	0	0	0	0	0	NA
0	0	6120,0002906844	0	2,1480312	0	0	0	0	0	0	0	NA
0	0	6150,00029210933	0	2,1484249	0	0	0	0	0	0	0	NA
0	0	6180,00029353425	0	2,1487005	0	0	0	0	0	0	0	NA
0	0	6210,00029495917	0	2,1490941	0	0	0	0	0	0	0	NA
0	0	6240,0002963841	0	2,1493301	0	0	0	0	0	0	0	NA
0	0	6270,00029780902	0	2,1495664	0	0	0	0	0	0	0	NA
0	0	6300,00029923394	0	2,1500387	0	0	0	0	0	0	0	NA
0	0	6330,00030065887	0	2,1501567	0	0	0	0	0	0	0	NA
0	0	6360,00030208379	0	2,1504323	0	0	0	0	0	0	0	NA
0	0	6390,00030350871	0	2,1507473	0	0	0	0	0	0	0	NA
0	0	6420,00030493364	0	2,1511409	0	0	0	0	0	0	0	NA
0	0	6450,00030635856	0	2,1512983	0	0	0	0	0	0	0	NA
0	0	6480,00030778348	0	2,1516526	0	0	0	0	0	0	0	NA
0	0	6510,00030920841	0	2,1518102	0	0	0	0	0	0	0	NA
0	0	6540,00031063333	0	2,1522431	0	0	0	0	0	0	0	NA
0	0	6570,00031205826	0	2,1525581	0	0	0	0	0	0	0	NA
