cycle number	Ns	time/s	<I>/mA	Ecell/V	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	(Q-Qo)/mA.h	Capacity/mA.h	Energy charge/W.h	Energy discharge/W.h	
0,000000000000000E+000	1	7,211340342520271E+003	-9,002552260523508E-002	1,9123371E+000	3,270546735574802E-005	0,000000000000000E+000	-2,500709080033832E-006	-3,270546735574802E-005	3,270546735574802E-005	0,000000000000000E+000	6,605488947804792E-008
0,000000000000000E+000	1	7,211444342525210E+003	-9,001207210710961E-002	1,8969818E+000	3,530581622901891E-005	0,000000000000000E+000	-2,600348873270882E-006	-3,530581622901890E-005	3,530581622901891E-005	0,000000000000000E+000	7,098770405625540E-008
0,000000000000000E+000	1	7,211552342530340E+003	-9,005796122848254E-002	1,8817054E+000	3,800755519419909E-005	0,000000000000000E+000	-2,701738965180185E-006	-3,800755519419908E-005	3,800755519419909E-005	0,000000000000000E+000	7,607158086541660E-008
0,000000000000000E+000	1	7,211664342535660E+003	-9,001618329225675E-002	1,8665863E+000	4,080805880741941E-005	0,000000000000000E+000	-2,800503613220321E-006	-4,080805880741940E-005	4,080805880741941E-005	0,000000000000000E+000	8,129896262011585E-008
0,000000000000000E+000	1	7,211778342541074E+003	-8,999432156722710E-002	1,8515460E+000	4,365787912574080E-005	0,000000000000000E+000	-2,849820318321387E-006	-4,365787912574079E-005	4,365787912574080E-005	0,000000000000000E+000	8,657553617120013E-008
0,000000000000000E+000	1	7,211898342546774E+003	-9,006470659750820E-002	1,8363878E+000	4,666003615491920E-005	0,000000000000000E+000	-3,002157029178407E-006	-4,666003615491920E-005	4,666003615491920E-005	0,000000000000000E+000	9,208866057362717E-008
0,000000000000000E+000	1	7,212022342552664E+003	-9,002008546499010E-002	1,8213475E+000	4,976072813487716E-005	0,000000000000000E+000	-3,100691979957952E-006	-4,976072813487715E-005	4,976072813487716E-005	0,000000000000000E+000	9,773609808223721E-008
0,000000000000000E+000	1	7,212152342558838E+003	-9,001086087201071E-002	1,8062679E+000	5,301112048741845E-005	0,000000000000000E+000	-3,250392352541288E-006	-5,301112048741844E-005	5,301112048741845E-005	0,000000000000000E+000	1,036071773130640E-007
0,000000000000000E+000	1	7,212286342565203E+003	-9,003730191032581E-002	1,7911488E+000	5,636250910659632E-005	0,000000000000000E+000	-3,351388619177871E-006	-5,636250910659631E-005	5,636250910659632E-005	0,000000000000000E+000	1,096100129555638E-007
0,000000000000000E+000	1	7,212428342571948E+003	-8,999197649571485E-002	1,7759904E+000	5,991219279252821E-005	0,000000000000000E+000	-3,549683685931895E-006	-5,991219279252820E-005	5,991219279252821E-005	0,000000000000000E+000	1,159142169874478E-007
0,000000000000000E+000	1	7,212574342578882E+003	-9,002080724118577E-002	1,7608321E+000	6,356303681515985E-005	0,000000000000000E+000	-3,650844022631645E-006	-6,356303681515985E-005	6,356303681515985E-005	0,000000000000000E+000	1,223427402298273E-007
0,000000000000000E+000	1	7,212726342586102E+003	-9,002687972058364E-002	1,7457918E+000	6,736417191723982E-005	0,000000000000000E+000	-3,801135102079974E-006	-6,736417191723983E-005	6,736417191723982E-005	0,000000000000000E+000	1,289787306946269E-007
0,000000000000000E+000	1	7,212886342593702E+003	-9,000415840166429E-002	1,7307122E+000	7,136435692509014E-005	0,000000000000000E+000	-4,000185007850329E-006	-7,136435692509015E-005	7,136435692509014E-005	0,000000000000000E+000	1,359018995914431E-007
0,000000000000000E+000	1	7,213050342601491E+003	-9,002736646393034E-002	1,7155538E+000	7,546560381435684E-005	0,000000000000000E+000	-4,101246889266703E-006	-7,546560381435686E-005	7,546560381435684E-005	0,000000000000000E+000	1,429378091151806E-007
0,000000000000000E+000	1	7,213224342609756E+003	-8,999946791242294E-002	1,7005135E+000	7,981557830340331E-005	0,000000000000000E+000	-4,349974489046467E-006	-7,981557830340333E-005	7,981557830340331E-005	0,000000000000000E+000	1,503349993805683E-007
0,000000000000000E+000	1	7,213404342618305E+003	-9,000508779946143E-002	1,6853944E+000	8,431583290712700E-005	0,000000000000000E+000	-4,500254603723685E-006	-8,431583290712701E-005	8,431583290712700E-005	0,000000000000000E+000	1,579197033166940E-007
0,000000000000000E+000	1	7,213592342627235E+003	-9,002731574430832E-002	1,6702361E+000	8,901725961930220E-005	0,000000000000000E+000	-4,701426712175210E-006	-8,901725961930222E-005	8,901725961930220E-005	0,000000000000000E+000	1,657721959831187E-007
0,000000000000000E+000	1	7,213788342636544E+003	-9,000794496520566E-002	1,6551958E+000	9,391769241127701E-005	0,000000000000000E+000	-4,900432791974809E-006	-9,391769241127703E-005	9,391769241127701E-005	0,000000000000000E+000	1,738833719166289E-007
0,000000000000000E+000	1	7,213992342646234E+003	-9,001924451550039E-002	1,6401556E+000	9,901878317611083E-005	0,000000000000000E+000	-5,101090764833821E-006	-9,901878317611086E-005	9,901878317611083E-005	0,000000000000000E+000	1,822499542650995E-007
0,000000000000000E+000	1	7,214206342656398E+003	-9,002914374320796E-002	1,6250365E+000	1,043705158639285E-004	0,000000000000000E+000	-5,351732687817679E-006	-1,043705158639285E-004	1,043705158639285E-004	0,000000000000000E+000	1,909467151035362E-007
0,000000000000000E+000	1	7,214428342666943E+003	-9,002244293272689E-002	1,6100357E+000	1,099219001084566E-004	0,000000000000000E+000	-5,551384244528082E-006	-1,099219001084566E-004	1,099219001084566E-004	0,000000000000000E+000	1,998846416878346E-007
0,000000000000000E+000	1	7,214660342677962E+003	-9,002719276327067E-002	1,5949166E+000	1,157236528065469E-004	0,000000000000000E+000	-5,801752698090341E-006	-1,157236528065470E-004	1,157236528065469E-004	0,000000000000000E+000	2,091379532713061E-007
0,000000000000000E+000	1	7,214902342689456E+003	-9,001267304637674E-002	1,5798763E+000	1,217745050042868E-004	0,000000000000000E+000	-6,050852197739813E-006	-1,217745050042868E-004	1,217745050042868E-004	0,000000000000000E+000	2,186975512755416E-007
0,000000000000000E+000	1	7,215156342701521E+003	-9,000606096452868E-002	1,5648755E+000	1,281249329406354E-004	0,000000000000000E+000	-6,350427936348651E-006	-1,281249329406354E-004	1,281249329406354E-004	0,000000000000000E+000	2,286351802629489E-007
0,000000000000000E+000	1	7,215420342714060E+003	-9,000996078373684E-002	1,5498745E+000	1,347256637116273E-004	0,000000000000000E+000	-6,600730770991908E-006	-1,347256637116273E-004	1,347256637116273E-004	0,000000000000000E+000	2,388654848576552E-007
0,000000000000000E+000	1	7,215696342727169E+003	-9,002140163315335E-002	1,5348343E+000	1,416273048313128E-004	0,000000000000000E+000	-6,901641119685438E-006	-1,416273048313128E-004	1,416273048313128E-004	0,000000000000000E+000	2,494583601377741E-007
0,000000000000000E+000	1	7,215988342741039E+003	-9,001676137198830E-002	1,5197940E+000	1,489286647116145E-004	0,000000000000000E+000	-7,301359880301687E-006	-1,489286647116144E-004	1,489286647116145E-004	0,000000000000000E+000	2,605549229827815E-007
0,000000000000000E+000	1	7,216292342755478E+003	-9,001897818416799E-002	1,5046750E+000	1,565302676748898E-004	0,000000000000000E+000	-7,601602963275380E-006	-1,565302676748898E-004	1,565302676748898E-004	0,000000000000000E+000	2,719928651549802E-007
0,000000000000000E+000	1	7,216610342770582E+003	-9,003631647544737E-002	1,4896741E+000	1,644834760079781E-004	0,000000000000000E+000	-7,953208333088292E-006	-1,644834760079781E-004	1,644834760079781E-004	0,000000000000000E+000	2,838405535518042E-007
0,000000000000000E+000	1	7,216944342786446E+003	-9,003354975509929E-002	1,4746733E+000	1,728365890764528E-004	0,000000000000000E+000	-8,353113068474664E-006	-1,728365890764528E-004	1,728365890764528E-004	0,000000000000000E+000	2,961586661250214E-007
0,000000000000000E+000	1	7,217292342802975E+003	-9,002911659729218E-002	1,4595542E+000	1,815394040942192E-004	0,000000000000000E+000	-8,702815017766423E-006	-1,815394040942192E-004	1,815394040942192E-004	0,000000000000000E+000	3,088608962960278E-007
0,000000000000000E+000	1	7,217664342820644E+003	-9,002696647641337E-002	1,4445139E+000	1,908421910719739E-004	0,000000000000000E+000	-9,302786977754699E-006	-1,908421910719739E-004	1,908421910719739E-004	0,000000000000000E+000	3,222989015519952E-007
