"cycle.number"	"Ns"	"time.s"	"X.I..mA"	"Ecell.V"	"Q.discharge.mA.h"	"Q.charge.mA.h"	"dq.mA.h"	"X.Q.Qo..mA.h"	"Capacity.mA.h"	"Energy.charge.W.h"	"Energy.discharge.W.h"	"X"
0	0	3540,00016814098	0	2,0444384	0	0	0	0	0	0	0	NA
0	0	3570,0001695659	0	2,044714	0	0	0	0	0	0	0	NA
0	0	3600,00017099083	0	2,0453045	0	0	0	0	0	0	0	NA
0	0	3630,00017241575	0	2,0456195	0	0	0	0	0	0	0	NA
0	0	3660,00017384067	0	2,0462098	0	0	0	0	0	0	0	NA
0	0	3690,00017526559	0	2,0464854	0	0	0	0	0	0	0	NA
0	0	3720,00017669052	0	2,0468397	0	0	0	0	0	0	0	NA
0	0	3750,00017811544	0	2,0473514	0	0	0	0	0	0	0	NA
0	0	3780,00017954037	0	2,0477057	0	0	0	0	0	0	0	NA
0	0	3810,00018096529	0	2,0482569	0	0	0	0	0	0	0	NA
0	0	3840,00018239021	0	2,0484931	0	0	0	0	0	0	0	NA
0	0	3870,00018381514	0	2,0488474	0	0	0	0	0	0	0	NA
0	0	3900,00018524006	0	2,0493984	0	0	0	0	0	0	0	NA
0	0	3930,00018666498	0	2,0497527	0	0	0	0	0	0	0	NA
0	0	3960,00018808991	0	2,050225	0	0	0	0	0	0	0	NA
0	0	3990,00018951483	0	2,0506582	0	0	0	0	0	0	0	NA
0	0	4020,00019093975	0	2,0510125	0	0	0	0	0	0	0	NA
0	0	4050,00019236468	0	2,0515242	0	0	0	0	0	0	0	NA
0	0	4080,0001937896	0	2,0518391	0	0	0	0	0	0	0	NA
0	0	4110,00019521452	0	2,0523114	0	0	0	0	0	0	0	NA
0	0	4140,00019663945	0	2,0527444	0	0	0	0	0	0	0	NA
0	0	4170,00019806437	0	2,0530593	0	0	0	0	0	0	0	NA
0	0	4200,00019948929	0	2,0535712	0	0	0	0	0	0	0	NA
0	0	4230,00020091422	0	2,0538468	0	0	0	0	0	0	0	NA
0	0	4260,00020233914	0	2,0543585	0	0	0	0	0	0	0	NA
0	0	4290,00020376407	0	2,0547521	0	0	0	0	0	0	0	NA
0	0	4320,00020518899	0	2,0551064	0	0	0	0	0	0	0	NA
0	0	4350,00020661391	0	2,0555787	0	0	0	0	0	0	0	NA
0	0	4380,00020803884	0	2,0559723	0	0	0	0	0	0	0	NA
0	0	4410,00020946376	0	2,0563266	0	0	0	0	0	0	0	NA
0	0	4440,00021088868	0	2,0567205	0	0	0	0	0	0	0	NA
0	0	4470,00021231361	0	2,0570748	0	0	0	0	0	0	0	NA
0	0	4500,00021373853	0	2,0574684	0	0	0	0	0	0	0	NA
0	0	4530,00021516345	0	2,0579014	0	0	0	0	0	0	0	NA
0	0	4560,00021658838	0	2,0582163	0	0	0	0	0	0	0	NA
0	0	4590,0002180133	0	2,05861	0	0	0	0	0	0	0	NA
0	0	4620,00021943823	0	2,0590429	0	0	0	0	0	0	0	NA
0	0	4650,00022086315	0	2,0594759	0	0	0	0	0	0	0	NA
0	0	4680,00022228807	0	2,0600271	0	0	0	0	0	0	0	NA
0	0	4710,000223713	0	2,0602238	0	0	0	0	0	0	0	NA
0	0	4740,00022513792	0	2,0606964	0	0	0	0	0	0	0	NA
0	0	4770,00022656284	0	2,0611687	0	0	0	0	0	0	0	NA
0	0	4800,00022798777	0	2,0613656	0	0	0	0	0	0	0	NA
0	0	4830,00022941269	0	2,0618379	0	0	0	0	0	0	0	NA
0	0	4860,00023083761	0	2,0621922	0	0	0	0	0	0	0	NA
0	0	4890,00023226254	0	2,0625072	0	0	0	0	0	0	0	NA
0	0	4920,00023368746	0	2,0629401	0	0	0	0	0	0	0	NA
0	0	4950,00023511238	0	2,0632944	0	0	0	0	0	0	0	NA
0	0	4980,00023653731	0	2,0637667	0	0	0	0	0	0	0	NA
0	0	5010,00023796223	0	2,0639243	0	0	0	0	0	0	0	NA
0	0	5040,00023938715	0	2,064554	0	0	0	0	0	0	0	NA
0	0	5070,00024081208	0	2,0648296	0	0	0	0	0	0	0	NA
0	0	5100,000242237	0	2,0652232	0	0	0	0	0	0	0	NA
0	0	5130,00024366193	0	2,0654988	0	0	0	0	0	0	0	NA
0	0	5160,00024508685	0	2,0659318	0	0	0	0	0	0	0	NA
0	0	5190,00024651177	0	2,0662467	0	0	0	0	0	0	0	NA
0	0	5220,0002479367	0	2,0667586	0	0	0	0	0	0	0	NA
0	0	5250,00024936162	0	2,066916	0	0	0	0	0	0	0	NA
0	0	5280,00025078654	0	2,0672309	0	0	0	0	0	0	0	NA
0	0	5310,00025221147	0	2,0678215	0	0	0	0	0	0	0	NA
0	0	5340,00025363639	0	2,0680575	0	0	0	0	0	0	0	NA
0	0	5370,00025506131	0	2,0684512	0	0	0	0	0	0	0	NA
0	0	5400,00025648624	0	2,0687661	0	0	0	0	0	0	0	NA
0	0	5430,00025791116	0	2,0691991	0	0	0	0	0	0	0	NA
0	0	5460,00025933608	0	2,0693567	0	0	0	0	0	0	0	NA
0	0	5490,00026076101	0	2,0697503	0	0	0	0	0	0	0	NA
0	0	5520,00026218593	0	2,0701046	0	0	0	0	0	0	0	NA
0	0	5550,00026361085	0	2,0704982	0	0	0	0	0	0	0	NA
0	0	5580,00026503578	0	2,0708132	0	0	0	0	0	0	0	NA
0	0	5610,0002664607	0	2,0711281	0	0	0	0	0	0	0	NA
0	0	5640,00026788563	0	2,0715218	0	0	0	0	0	0	0	NA
0	0	5670,00026931055	0	2,0717974	0	0	0	0	0	0	0	NA
0	0	5700,00027073547	0	2,072191	0	0	0	0	0	0	0	NA
0	0	5730,0002721604	0	2,0724666	0	0	0	0	0	0	0	NA
0	0	5760,00027358532	0	2,0728209	0	0	0	0	0	0	0	NA
0	0	5790,00027501024	0	2,0731356	0	0	0	0	0	0	0	NA
0	0	5820,00027643517	0	2,0734112	0	0	0	0	0	0	0	NA
0	0	5850,00027786009	0	2,0738838	0	0	0	0	0	0	0	NA
0	0	5880,00027928501	0	2,0741198	0	0	0	0	0	0	0	NA
0	0	5910,00028070994	0	2,0744348	0	0	0	0	0	0	0	NA
0	0	5940,00028213486	0	2,0748284	0	0	0	0	0	0	0	NA
0	0	5970,00028355978	0	2,0751433	0	0	0	0	0	0	0	NA
0	0	6000,00028498471	0	2,0754976	0	0	0	0	0	0	0	NA
0	0	6030,00028640963	0	2,0757732	0	0	0	0	0	0	0	NA
0	0	6060,00028783455	0	2,0762062	0	0	0	0	0	0	0	NA
0	0	6090,00028925948	0	2,0764031	0	0	0	0	0	0	0	NA
0	0	6120,0002906844	0	2,0767574	0	0	0	0	0	0	0	NA
0	0	6150,00029210933	0	2,0772297	0	0	0	0	0	0	0	NA
0	0	6180,00029353425	0	2,0773871	0	0	0	0	0	0	0	NA
0	0	6210,00029495917	0	2,0777414	0	0	0	0	0	0	0	NA
0	0	6240,0002963841	0	2,078017	0	0	0	0	0	0	0	NA
0	0	6270,00029780902	0	2,0783319	0	0	0	0	0	0	0	NA
